strokes;text;person
[{'x': 136, 'y': 380, 'eos': 0}, {'x': 118, 'y': 391, 'eos': 0}, {'x': 105, 'y': 407, 'eos': 0}, {'x': 100, 'y': 430, 'eos': 0}, {'x': 103, 'y': 450, 'eos': 0}, {'x': 115, 'y': 467, 'eos': 0}, {'x': 133, 'y': 476, 'eos': 0}, {'x': 154, 'y': 472, 'eos': 0}, {'x': 172, 'y': 465, 'eos': 0}, {'x': 187, 'y': 450, 'eos': 0}, {'x': 196, 'y': 430, 'eos': 0}, {'x': 199, 'y': 414, 'eos': 0}, {'x': 193, 'y': 397, 'eos': 0}, {'x': 186, 'y': 386, 'eos': 0}, {'x': 177, 'y': 374, 'eos': 0}, {'x': 168, 'y': 365, 'eos': 0}, {'x': 159, 'y': 365, 'eos': 1}, {'x': 257, 'y': 355, 'eos': 0}, {'x': 261, 'y': 375, 'eos': 0}, {'x': 267, 'y': 395, 'eos': 0}, {'x': 275, 'y': 407, 'eos': 0}, {'x': 286, 'y': 414, 'eos': 0}, {'x': 301, 'y': 410, 'eos': 0}, {'x': 319, 'y': 397, 'eos': 0}, {'x': 338, 'y': 377, 'eos': 0}, {'x': 358, 'y': 373, 'eos': 0}, {'x': 373, 'y': 376, 'eos': 0}, {'x': 383, 'y': 380, 'eos': 0}, {'x': 394, 'y': 399, 'eos': 0}, {'x': 402, 'y': 415, 'eos': 1}];on;10056
[{'x': 191.5, 'y': 183, 'eos': 0}, {'x': 194.5, 'y': 199, 'eos': 0}, {'x': 197.5, 'y': 227, 'eos': 0}, {'x': 198.5, 'y': 264, 'eos': 0}, {'x': 197.5, 'y': 305, 'eos': 0}, {'x': 196.5, 'y': 354, 'eos': 0}, {'x': 191.5, 'y': 400, 'eos': 0}, {'x': 186.5, 'y': 437, 'eos': 0}, {'x': 179.5, 'y': 455, 'eos': 1}, {'x': 158.5, 'y': 361, 'eos': 0}, {'x': 161.5, 'y': 356, 'eos': 0}, {'x': 162.5, 'y': 352, 'eos': 0}, {'x': 172.5, 'y': 354, 'eos': 0}, {'x': 194.5, 'y': 359, 'eos': 0}, {'x': 222.5, 'y': 356, 'eos': 0}, {'x': 250.5, 'y': 351, 'eos': 0}, {'x': 279.5, 'y': 340, 'eos': 1}, {'x': 405.5, 'y': 179, 'eos': 0}, {'x': 406.5, 'y': 195, 'eos': 0}, {'x': 405.5, 'y': 228, 'eos': 0}, {'x': 404.5, 'y': 275, 'eos': 0}, {'x': 396.5, 'y': 315, 'eos': 0}, {'x': 394.5, 'y': 349, 'eos': 0}, {'x': 392.5, 'y': 366, 'eos': 0}, {'x': 399.5, 'y': 368, 'eos': 0}, {'x': 410.5, 'y': 352, 'eos': 0}, {'x': 426.5, 'y': 339, 'eos': 0}, {'x': 440.5, 'y': 335, 'eos': 0}, {'x': 450.5, 'y': 340, 'eos': 0}, {'x': 459.5, 'y': 351, 'eos': 0}, {'x': 470.5, 'y': 368, 'eos': 0}, {'x': 476.5, 'y': 379, 'eos': 0}, {'x': 487.5, 'y': 380, 'eos': 1}, {'x': 605.5, 'y': 392, 'eos': 0}, {'x': 621.5, 'y': 386, 'eos': 0}, {'x': 644.5, 'y': 377, 'eos': 0}, {'x': 664.5, 'y': 361, 'eos': 0}, {'x': 682.5, 'y': 342, 'eos': 0}, {'x': 688.5, 'y': 326, 'eos': 0}, {'x': 679.5, 'y': 317, 'eos': 0}, {'x': 665.5, 'y': 317, 'eos': 0}, {'x': 652.5, 'y': 327, 'eos': 0}, {'x': 642.5, 'y': 344, 'eos': 0}, {'x': 640.5, 'y': 366, 'eos': 0}, {'x': 641.5, 'y': 383, 'eos': 0}, {'x': 653.5, 'y': 399, 'eos': 0}, {'x': 674.5, 'y': 404, 'eos': 0}, {'x': 697.5, 'y': 400, 'eos': 0}, {'x': 737.5, 'y': 397, 'eos': 1}];the;10056
[{'x': 223, 'y': 332, 'eos': 0}, {'x': 214, 'y': 328, 'eos': 0}, {'x': 204, 'y': 334, 'eos': 0}, {'x': 191, 'y': 342, 'eos': 0}, {'x': 180, 'y': 347, 'eos': 0}, {'x': 177, 'y': 362, 'eos': 0}, {'x': 181, 'y': 383, 'eos': 0}, {'x': 186, 'y': 399, 'eos': 0}, {'x': 201, 'y': 414, 'eos': 1}, {'x': 361, 'y': 390, 'eos': 0}, {'x': 373, 'y': 392, 'eos': 0}, {'x': 392, 'y': 395, 'eos': 0}, {'x': 411, 'y': 387, 'eos': 0}, {'x': 428, 'y': 375, 'eos': 0}, {'x': 440, 'y': 363, 'eos': 0}, {'x': 447, 'y': 354, 'eos': 0}, {'x': 440, 'y': 345, 'eos': 0}, {'x': 428, 'y': 338, 'eos': 0}, {'x': 417, 'y': 340, 'eos': 0}, {'x': 405, 'y': 344, 'eos': 0}, {'x': 394, 'y': 355, 'eos': 0}, {'x': 384, 'y': 376, 'eos': 0}, {'x': 377, 'y': 398, 'eos': 0}, {'x': 379, 'y': 416, 'eos': 0}, {'x': 387, 'y': 426, 'eos': 0}, {'x': 408, 'y': 427, 'eos': 1}, {'x': 619, 'y': 183, 'eos': 0}, {'x': 619, 'y': 188, 'eos': 0}, {'x': 614, 'y': 206, 'eos': 0}, {'x': 614, 'y': 242, 'eos': 0}, {'x': 612, 'y': 284, 'eos': 0}, {'x': 610, 'y': 330, 'eos': 0}, {'x': 609, 'y': 371, 'eos': 0}, {'x': 611, 'y': 398, 'eos': 0}, {'x': 616, 'y': 408, 'eos': 1}, {'x': 783, 'y': 168, 'eos': 0}, {'x': 781, 'y': 170, 'eos': 0}, {'x': 775, 'y': 186, 'eos': 0}, {'x': 771, 'y': 220, 'eos': 0}, {'x': 766, 'y': 260, 'eos': 0}, {'x': 761, 'y': 301, 'eos': 0}, {'x': 762, 'y': 340, 'eos': 0}, {'x': 776, 'y': 371, 'eos': 0}, {'x': 788, 'y': 381, 'eos': 1}];cell;10056
[{'x': 241, 'y': 192, 'eos': 0}, {'x': 235, 'y': 192, 'eos': 0}, {'x': 224, 'y': 198, 'eos': 0}, {'x': 221, 'y': 213, 'eos': 0}, {'x': 217, 'y': 228, 'eos': 0}, {'x': 218, 'y': 250, 'eos': 0}, {'x': 219, 'y': 276, 'eos': 0}, {'x': 214, 'y': 303, 'eos': 0}, {'x': 214, 'y': 332, 'eos': 0}, {'x': 222, 'y': 357, 'eos': 0}, {'x': 235, 'y': 373, 'eos': 0}, {'x': 255, 'y': 380, 'eos': 0}, {'x': 284, 'y': 386, 'eos': 0}, {'x': 313, 'y': 391, 'eos': 0}, {'x': 342, 'y': 397, 'eos': 0}, {'x': 366, 'y': 401, 'eos': 0}, {'x': 385, 'y': 404, 'eos': 1}, {'x': 242, 'y': 276, 'eos': 0}, {'x': 236, 'y': 271, 'eos': 0}, {'x': 242, 'y': 271, 'eos': 0}, {'x': 250, 'y': 269, 'eos': 0}, {'x': 266, 'y': 264, 'eos': 0}, {'x': 295, 'y': 263, 'eos': 0}, {'x': 314, 'y': 254, 'eos': 0}, {'x': 342, 'y': 254, 'eos': 0}, {'x': 362, 'y': 251, 'eos': 0}, {'x': 367, 'y': 245, 'eos': 0}, {'x': 372, 'y': 240, 'eos': 0}, {'x': 368, 'y': 233, 'eos': 0}, {'x': 351, 'y': 221, 'eos': 1}, {'x': 217, 'y': 183, 'eos': 0}, {'x': 203, 'y': 174, 'eos': 0}, {'x': 211, 'y': 176, 'eos': 0}, {'x': 225, 'y': 173, 'eos': 0}, {'x': 253, 'y': 168, 'eos': 0}, {'x': 288, 'y': 160, 'eos': 0}, {'x': 322, 'y': 153, 'eos': 0}, {'x': 354, 'y': 148, 'eos': 1}, {'x': 558, 'y': 339, 'eos': 0}, {'x': 554, 'y': 349, 'eos': 0}, {'x': 558, 'y': 363, 'eos': 0}, {'x': 559, 'y': 368, 'eos': 0}, {'x': 560, 'y': 361, 'eos': 1}];E.;10056
[{'x': 54, 'y': 120, 'eos': 0}, {'x': 53, 'y': 122, 'eos': 0}, {'x': 53, 'y': 134, 'eos': 0}, {'x': 56, 'y': 161, 'eos': 0}, {'x': 53, 'y': 192, 'eos': 0}, {'x': 52, 'y': 223, 'eos': 0}, {'x': 51, 'y': 250, 'eos': 0}, {'x': 48, 'y': 259, 'eos': 0}, {'x': 49, 'y': 257, 'eos': 0}, {'x': 53, 'y': 241, 'eos': 0}, {'x': 65, 'y': 214, 'eos': 0}, {'x': 74, 'y': 177, 'eos': 0}, {'x': 87, 'y': 149, 'eos': 0}, {'x': 96, 'y': 126, 'eos': 0}, {'x': 103, 'y': 115, 'eos': 0}, {'x': 104, 'y': 115, 'eos': 0}, {'x': 108, 'y': 122, 'eos': 0}, {'x': 115, 'y': 139, 'eos': 0}, {'x': 120, 'y': 160, 'eos': 0}, {'x': 133, 'y': 180, 'eos': 0}, {'x': 142, 'y': 190, 'eos': 0}, {'x': 160, 'y': 192, 'eos': 0}, {'x': 181, 'y': 185, 'eos': 0}, {'x': 201, 'y': 166, 'eos': 0}, {'x': 229, 'y': 150, 'eos': 0}, {'x': 254, 'y': 137, 'eos': 0}, {'x': 270, 'y': 130, 'eos': 0}, {'x': 282, 'y': 134, 'eos': 0}, {'x': 288, 'y': 146, 'eos': 0}, {'x': 287, 'y': 167, 'eos': 0}, {'x': 287, 'y': 199, 'eos': 0}, {'x': 277, 'y': 232, 'eos': 0}, {'x': 269, 'y': 261, 'eos': 1}, {'x': 354, 'y': 327, 'eos': 0}, {'x': 352, 'y': 329, 'eos': 0}, {'x': 357, 'y': 330, 'eos': 0}, {'x': 360, 'y': 327, 'eos': 0}, {'x': 369, 'y': 315, 'eos': 1}];M.;10056
[{'x': 87, 'y': 178, 'eos': 0}, {'x': 84, 'y': 180, 'eos': 0}, {'x': 83, 'y': 196, 'eos': 0}, {'x': 86, 'y': 225, 'eos': 0}, {'x': 85, 'y': 256, 'eos': 0}, {'x': 85, 'y': 289, 'eos': 0}, {'x': 76, 'y': 314, 'eos': 0}, {'x': 76, 'y': 334, 'eos': 0}, {'x': 76, 'y': 342, 'eos': 1}, {'x': 80, 'y': 144, 'eos': 0}, {'x': 79, 'y': 139, 'eos': 0}, {'x': 80, 'y': 137, 'eos': 0}, {'x': 88, 'y': 139, 'eos': 0}, {'x': 109, 'y': 146, 'eos': 0}, {'x': 134, 'y': 151, 'eos': 0}, {'x': 159, 'y': 156, 'eos': 0}, {'x': 181, 'y': 161, 'eos': 0}, {'x': 206, 'y': 168, 'eos': 0}, {'x': 223, 'y': 170, 'eos': 0}, {'x': 235, 'y': 174, 'eos': 0}, {'x': 237, 'y': 177, 'eos': 0}, {'x': 230, 'y': 182, 'eos': 1}, {'x': 88, 'y': 251, 'eos': 0}, {'x': 91, 'y': 254, 'eos': 0}, {'x': 97, 'y': 252, 'eos': 0}, {'x': 118, 'y': 257, 'eos': 0}, {'x': 148, 'y': 256, 'eos': 0}, {'x': 182, 'y': 258, 'eos': 0}, {'x': 211, 'y': 259, 'eos': 0}, {'x': 228, 'y': 261, 'eos': 1}, {'x': 324, 'y': 362, 'eos': 0}, {'x': 323, 'y': 370, 'eos': 0}, {'x': 324, 'y': 375, 'eos': 0}, {'x': 327, 'y': 372, 'eos': 1}];F.;10056
[{'x': 201.5, 'y': 148, 'eos': 0}, {'x': 196.5, 'y': 150, 'eos': 0}, {'x': 193.5, 'y': 161, 'eos': 0}, {'x': 191.5, 'y': 180, 'eos': 0}, {'x': 195.5, 'y': 206, 'eos': 0}, {'x': 196.5, 'y': 233, 'eos': 0}, {'x': 196.5, 'y': 264, 'eos': 0}, {'x': 198.5, 'y': 300, 'eos': 0}, {'x': 193.5, 'y': 330, 'eos': 0}, {'x': 191.5, 'y': 355, 'eos': 0}, {'x': 188.5, 'y': 368, 'eos': 0}, {'x': 186.5, 'y': 369, 'eos': 0}, {'x': 183.5, 'y': 360, 'eos': 1}, {'x': 143.5, 'y': 145, 'eos': 0}, {'x': 143.5, 'y': 145, 'eos': 0}, {'x': 149.5, 'y': 144, 'eos': 0}, {'x': 166.5, 'y': 145, 'eos': 0}, {'x': 190.5, 'y': 144, 'eos': 0}, {'x': 222.5, 'y': 145, 'eos': 0}, {'x': 253.5, 'y': 147, 'eos': 0}, {'x': 283.5, 'y': 151, 'eos': 0}, {'x': 309.5, 'y': 154, 'eos': 1}, {'x': 424.5, 'y': 130, 'eos': 0}, {'x': 425.5, 'y': 145, 'eos': 0}, {'x': 431.5, 'y': 175, 'eos': 0}, {'x': 427.5, 'y': 206, 'eos': 0}, {'x': 422.5, 'y': 240, 'eos': 0}, {'x': 424.5, 'y': 267, 'eos': 0}, {'x': 423.5, 'y': 284, 'eos': 0}, {'x': 429.5, 'y': 291, 'eos': 0}, {'x': 437.5, 'y': 284, 'eos': 0}, {'x': 452.5, 'y': 274, 'eos': 0}, {'x': 468.5, 'y': 271, 'eos': 0}, {'x': 478.5, 'y': 270, 'eos': 0}, {'x': 488.5, 'y': 276, 'eos': 0}, {'x': 496.5, 'y': 286, 'eos': 0}, {'x': 504.5, 'y': 298, 'eos': 0}, {'x': 514.5, 'y': 310, 'eos': 1}, {'x': 608.5, 'y': 316, 'eos': 0}, {'x': 623.5, 'y': 316, 'eos': 0}, {'x': 641.5, 'y': 316, 'eos': 0}, {'x': 660.5, 'y': 307, 'eos': 0}, {'x': 675.5, 'y': 288, 'eos': 0}, {'x': 690.5, 'y': 268, 'eos': 0}, {'x': 690.5, 'y': 253, 'eos': 0}, {'x': 676.5, 'y': 244, 'eos': 0}, {'x': 662.5, 'y': 245, 'eos': 0}, {'x': 649.5, 'y': 253, 'eos': 0}, {'x': 640.5, 'y': 269, 'eos': 0}, {'x': 631.5, 'y': 285, 'eos': 0}, {'x': 628.5, 'y': 307, 'eos': 0}, {'x': 635.5, 'y': 327, 'eos': 0}, {'x': 646.5, 'y': 339, 'eos': 0}, {'x': 663.5, 'y': 341, 'eos': 0}, {'x': 691.5, 'y': 334, 'eos': 1}];The;10056
[{'x': 176.5, 'y': 130, 'eos': 0}, {'x': 173.5, 'y': 146, 'eos': 0}, {'x': 169.5, 'y': 171, 'eos': 0}, {'x': 162.5, 'y': 205, 'eos': 0}, {'x': 150.5, 'y': 237, 'eos': 0}, {'x': 146.5, 'y': 270, 'eos': 0}, {'x': 143.5, 'y': 292, 'eos': 0}, {'x': 152.5, 'y': 310, 'eos': 0}, {'x': 165.5, 'y': 319, 'eos': 0}, {'x': 184.5, 'y': 325, 'eos': 0}, {'x': 214.5, 'y': 330, 'eos': 0}, {'x': 244.5, 'y': 332, 'eos': 0}, {'x': 275.5, 'y': 332, 'eos': 0}, {'x': 293.5, 'y': 332, 'eos': 0}, {'x': 308.5, 'y': 330, 'eos': 0}, {'x': 314.5, 'y': 327, 'eos': 0}, {'x': 309.5, 'y': 321, 'eos': 1}, {'x': 204.5, 'y': 243, 'eos': 0}, {'x': 202.5, 'y': 240, 'eos': 0}, {'x': 199.5, 'y': 235, 'eos': 0}, {'x': 210.5, 'y': 232, 'eos': 0}, {'x': 232.5, 'y': 226, 'eos': 0}, {'x': 253.5, 'y': 217, 'eos': 0}, {'x': 283.5, 'y': 213, 'eos': 0}, {'x': 299.5, 'y': 206, 'eos': 0}, {'x': 310.5, 'y': 201, 'eos': 0}, {'x': 318.5, 'y': 194, 'eos': 0}, {'x': 316.5, 'y': 189, 'eos': 0}, {'x': 300.5, 'y': 177, 'eos': 1}, {'x': 179.5, 'y': 115, 'eos': 0}, {'x': 176.5, 'y': 112, 'eos': 0}, {'x': 180.5, 'y': 113, 'eos': 0}, {'x': 192.5, 'y': 107, 'eos': 0}, {'x': 215.5, 'y': 113, 'eos': 0}, {'x': 250.5, 'y': 114, 'eos': 0}, {'x': 266.5, 'y': 119, 'eos': 0}, {'x': 281.5, 'y': 124, 'eos': 1}, {'x': 423.5, 'y': 298, 'eos': 0}, {'x': 423.5, 'y': 307, 'eos': 0}, {'x': 424.5, 'y': 313, 'eos': 0}, {'x': 431.5, 'y': 317, 'eos': 0}, {'x': 437.5, 'y': 314, 'eos': 1}];E.;10056
[{'x': 53, 'y': 121, 'eos': 0}, {'x': 53, 'y': 120, 'eos': 0}, {'x': 59, 'y': 126, 'eos': 0}, {'x': 60, 'y': 145, 'eos': 0}, {'x': 64, 'y': 173, 'eos': 0}, {'x': 59, 'y': 202, 'eos': 0}, {'x': 53, 'y': 223, 'eos': 0}, {'x': 53, 'y': 233, 'eos': 0}, {'x': 53, 'y': 226, 'eos': 0}, {'x': 60, 'y': 209, 'eos': 0}, {'x': 76, 'y': 177, 'eos': 0}, {'x': 87, 'y': 144, 'eos': 0}, {'x': 101, 'y': 120, 'eos': 0}, {'x': 104, 'y': 105, 'eos': 0}, {'x': 110, 'y': 100, 'eos': 0}, {'x': 110, 'y': 102, 'eos': 0}, {'x': 111, 'y': 110, 'eos': 0}, {'x': 111, 'y': 126, 'eos': 0}, {'x': 117, 'y': 143, 'eos': 0}, {'x': 128, 'y': 157, 'eos': 0}, {'x': 143, 'y': 163, 'eos': 0}, {'x': 161, 'y': 163, 'eos': 0}, {'x': 183, 'y': 153, 'eos': 0}, {'x': 211, 'y': 139, 'eos': 0}, {'x': 237, 'y': 130, 'eos': 0}, {'x': 250, 'y': 130, 'eos': 0}, {'x': 260, 'y': 139, 'eos': 0}, {'x': 261, 'y': 156, 'eos': 0}, {'x': 259, 'y': 179, 'eos': 0}, {'x': 250, 'y': 208, 'eos': 0}, {'x': 239, 'y': 231, 'eos': 0}, {'x': 233, 'y': 256, 'eos': 0}, {'x': 224, 'y': 267, 'eos': 1}, {'x': 297, 'y': 290, 'eos': 0}, {'x': 297, 'y': 290, 'eos': 0}, {'x': 304, 'y': 282, 'eos': 1}];M.;10056
[{'x': 110, 'y': 153, 'eos': 0}, {'x': 112, 'y': 158, 'eos': 0}, {'x': 111, 'y': 171, 'eos': 0}, {'x': 85, 'y': 281, 'eos': 0}, {'x': 72, 'y': 298, 'eos': 0}, {'x': 70, 'y': 304, 'eos': 1}, {'x': 110, 'y': 122, 'eos': 0}, {'x': 118, 'y': 123, 'eos': 0}, {'x': 124, 'y': 120, 'eos': 0}, {'x': 142, 'y': 119, 'eos': 0}, {'x': 171, 'y': 122, 'eos': 0}, {'x': 196, 'y': 124, 'eos': 0}, {'x': 219, 'y': 131, 'eos': 0}, {'x': 234, 'y': 136, 'eos': 0}, {'x': 237, 'y': 140, 'eos': 1}, {'x': 80, 'y': 221, 'eos': 0}, {'x': 81, 'y': 221, 'eos': 0}, {'x': 89, 'y': 222, 'eos': 0}, {'x': 104, 'y': 228, 'eos': 0}, {'x': 133, 'y': 229, 'eos': 0}, {'x': 160, 'y': 229, 'eos': 0}, {'x': 189, 'y': 231, 'eos': 1}, {'x': 297, 'y': 345, 'eos': 0}, {'x': 296, 'y': 346, 'eos': 1}];F.;10056
